 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";51066;71767;80647;76253;86931;81200;81751;78749;81050;76289;73823;69365;67438;72022;72770;61030;83920;82099;81590;82783;81482;80740;83319;82020;79395;72738;84181;83075;83701;82438;83726;84704;83078;81265;79491;80182;80242;79393;81545;81910;79884;76664;85125;80721;82730;78235;76339;80755;75770;72828;80902;75789;77645;70809;80117;79807;79120;75737;78214;70813;68384;67363;74112;75786;76994;79376;78794;76321;82897;81301;76101;71801;75959;73843;78705;77444;83793;81425;81665;76921;74464;79739;77490;71899;76176;71957;76443;76490;78995;79807;82121;85864;80121;87459;79334;69267;77075;72024;83053;81716;85624;86322;87547;76435;73264;84773;81750;80140;75069;70969;80830;79092;86546;74847;84347;82612;78361;82745;78573;74577;82060;78137;80678;91424;88055;83886;93792;87446;82405;85875;82973;69889;98423;86431;87561;86401;95574;85951;93532;91973;85715;85035;86211;86088;87412;88326;88219;73285;69680;67179;79723;79020;75690;80452;77121;75693;81053;72586;64114;12639142
"25 Paraíba";82885;88816;93172;98097;96460;94181;97282;97935;94713;97935;91918;93156;89267;90347;97958;99049;105807;103250;103140;100531;103647;99003;101523;99621;98581;93332;101179;101303;103722;102943;106965;106895;100818;100411;98977;99647;94443;93194;99271;96070;98312;93196;100839;93818;96869;95401;94995;94212;84505;86009;93829;91526;97733;91018;95572;93436;91219;91735;92547;88117;90661;83519;94334;97433;99736;97223;99071;97261;95524;90819;86402;87973;86902;81702;83214;85722;86551;84880;88182;89793;90706;91851;87099;83266;82276;76748;86439;84480;81267;86797;86681;87765;88683;82692;74284;74240;73819;81662;82867;82671;86259;87367;80911;86796;83583;81344;76800;79514;82605;78440;85926;87481;90501;86129;85035;90265;88304;88823;89173;86714;82331;78876;88168;87485;91282;90919;92368;92214;85223;85440;84749;79866;87276;79548;88474;86564;98065;88058;89752;90488;92597;86332;87370;80737;79057;81067;77668;66604;60298;68395;78231;80577;74299;78057;72660;68757;70141;82742;82239;14172471
"26 Pernambuco";169837;221414;284141;306132;294722;291911;289777;308934;294949;272437;265353;280998;251597;253888;270871;279733;283841;278200;278549;277731;283836;288918;276073;267080;261171;240038;265068;266747;265278;270426;266534;285646;263156;280064;280987;279925;264270;263788;254188;270195;277533;264273;279279;271148;266834;285227;256319;258966;248815;241638;251101;263103;264189;265983;265997;264650;253965;250708;263777;255560;245046;243104;263318;263017;271909;268947;274979;274126;260270;267917;256001;260852;247817;243894;241580;251340;276795;263432;267196;268571;273935;266646;269095;251592;258183;237702;257476;263520;263515;262393;259069;263977;253971;250833;258783;251089;259435;254203;269326;261989;268933;262729;268473;268013;263723;255037;243181;250047;240361;236743;263407;254406;276713;268445;273261;264749;264918;261346;255606;251960;248986;241100;259811;260462;274402;261233;269650;266496;259718;260575;247127;242328;259554;238330;262107;259433;275351;263623;268404;272650;264256;275856;267185;256885;264160;245539;246329;190086;189008;201272;229430;233215;228229;222591;242057;226979;239215;214663;227334;41341991
"27 Alagoas";55905;73892;72184;74631;81690;83574;83993;82184;85577;84403;79838;73413;71150;73497;84658;87625;87771;83801;84057;79677;81945;85002;80901;80361;83056;73714;81644;84285;83759;73166;82166;82004;79777;80757;79735;78239;78657;76291;75702;82641;83626;79213;81796;81722;86197;85102;81264;86985;79853;78687;78247;78061;86689;84539;80616;78481;80438;80611;73604;75553;72928;78326;77481;82516;82609;81066;86505;81883;81156;87120;79629;81662;80452;72591;73696;74639;79400;76443;77783;77405;76851;77052;76688;75109;77946;74766;73107;76021;81696;76858;86724;78867;78153;74146;71676;72861;73426;74107;75777;73299;75093;79409;79036;77198;76646;72624;70061;67651;71016;69319;74516;71362;74055;75326;78774;76749;73774;78828;73963;73471;74489;71369;70656;74924;73492;70035;76095;72118;72051;73653;68585;65346;69028;71229;76113;73433;74076;77470;79998;76105;74249;78304;75762;78274;77454;73166;74512;65236;56794;52800;58049;66987;63813;71146;74915;72366;70807;68895;70539;12192230
"28 Sergipe";23953;30749;40620;38861;37821;44803;46686;45189;42935;39438;34687;31866;28785;29312;34988;39339;42890;38443;38749;38636;41644;38286;42395;38788;36413;31197;35380;48449;54122;33655;44010;47146;40866;41217;46258;37354;42643;36683;39505;38774;40933;33481;38921;41022;37189;41529;37790;39978;42994;40610;39077;46724;41691;41873;38270;40535;38310;35512;32147;30338;32500;37100;42797;44055;37539;32272;38791;33743;31954;33290;30673;32108;32085;31544;31089;30730;32918;35578;32839;31038;34658;34790;31606;31120;33723;31403;35915;37683;40723;39046;43092;44553;42926;41891;41190;36091;39771;37653;45466;43630;46551;41890;47957;85092;26948;27701;32814;34757;38610;38246;34793;38631;44967;41370;41254;48496;46976;44610;40483;37040;43251;40141;40725;46971;48441;42730;49376;48829;43673;47713;44335;40940;47298;44704;42411;46772;48782;43020;45789;44393;47923;49227;44223;41695;46709;44110;42465;40392;38617;35415;38110;41376;39965;45028;45135;41492;41156;45915;41626;6344091
"29 Bahia";162964;230623;254644;314328;321484;352840;353860;345247;338574;321710;281342;295233;250496;288933;317953;317525;306570;316664;326168;327148;337212;321361;325760;320162;313740;294836;336375;327679;328751;304267;330951;344307;317562;325278;320189;316827;312583;298048;331618;335965;313928;312042;333326;325556;336035;327186;334568;307523;295191;304338;355844;326099;326512;327480;333562;337019;320308;333754;308860;288290;293104;280302;307155;328201;329745;327157;354464;346123;332082;345657;311798;300125;318703;308424;309792;310309;313884;306191;343709;337240;339585;341262;302539;314361;319925;293579;320695;315159;319557;317397;334472;345040;344576;347152;327723;314091;303682;307956;331336;332051;333631;321892;321907;337206;335676;334921;297444;301214;307388;288387;320432;308763;330491;340825;288459;299460;337682;354136;336745;308100;319489;307596;323610;330516;338210;322078;333830;339979;324950;336884;325531;297020;321322;282555;320827;332200;331309;322269;345386;355428;331087;322287;318224;309597;318091;308887;317389;269875;258933;253540;268921;268639;267406;285029;287562;292661;273101;268478;299068;50226024
"31 Minas Gerais";360974;496214;549144;529081;551852;628433;560134;567530;556372;561057;518664;505250;520317;512668;537632;530440;554453;532216;554420;551893;528498;531892;535765;512290;528030;492838;533185;535299;543968;533269;539382;549517;524163;530053;539720;534673;527005;506228;532936;547030;543338;536482;569768;567042;552725;546817;545470;541611;544178;509190;559861;526892;574067;560654;571342;562047;550989;554978;519231;527996;561992;514894;544458;551423;563903;555648;574347;573147;554970;563568;550262;535802;562363;527947;546343;525285;586948;556352;586685;567193;568912;564844;550062;517950;536546;509880;540217;540674;555531;549972;560303;536496;546969;527921;518102;516791;523163;506546;533513;524875;541253;557374;539908;543720;523717;507871;510198;529171;528153;483933;540958;496354;532258;519888;537132;542468;517524;520776;517156;501519;516960;490509;533778;534974;541701;547517;553916;547279;536576;534373;514046;508864;539678;517047;538435;546168;577781;542606;569275;563249;534955;556483;516253;516195;543262;510333;495390;434385;428046;422321;470897;471299;477074;478042;482401;472699;468033;463700;495934;84565725
"32 Espírito Santo";48378;77182;83501;89525;83425;96072;101889;101017;100309;97083;89324;88320;79763;84830;90487;102870;104158;94463;94523;100700;96560;100717;90468;87214;95723;86918;90941;86311;92284;90200;95241;93133;93479;96802;93355;92597;96870;84621;97856;97217;95868;101809;101767;102853;97555;97496;96152;93629;87097;94882;102818;96669;94576;95910;97087;98590;97825;98277;95699;95225;98221;93711;94477;97048;99037;97129;96478;96239;95091;95209;97294;91736;99552;91581;93324;94028;100527;100765;104918;105339;101647;105236;105381;97019;98836;97632;104157;99028;100884;102147;106855;102700;92492;99216;102317;88946;97530;94619;95134;101254;102580;106005;102648;103820;101793;99315;101636;102442;100020;94760;103636;97898;104936;103612;103727;101012;96546;97671;105530;98158;109989;95112;95532;101791;107610;100614;99067;101714;94676;102455;88870;93784;99934;90167;92520;91046;101990;95200;108831;105895;100952;106658;93116;105508;104757;96867;98675;93887;94779;82852;90052;88096;93553;94900;94376;96323;106812;101216;107890;15398655
"33 Rio de Janeiro";300375;379411;548538;506035;538450;584378;563856;569317;571226;531895;480581;528016;483517;474049;500120;500362;540297;511116;531557;527851;497285;513685;501827;497118;476706;481440;523874;498476;547991;517397;556307;548365;521338;521219;516839;516674;497380;481751;523984;519329;537695;506128;512176;502094;490679;500327;492625;496667;445188;445398;491414;471915;507686;510827;517917;512266;479058;491133;451171;441636;455480;431473;465587;473373;487443;474053;495459;489762;489065;486023;468992;449293;463161;445525;456410;460979;471961;449054;504443;479353;473597;495418;459397;444884;451060;438932;471792;468651;478916;470076;500158;477127;461264;469120;457789;454060;443073;420910;467186;449724;439192;443944;461683;464463;437875;419707;431779;436988;412462;418162;452023;419447;470947;453580;464769;469011;438251;439074;443070;425600;434705;415689;445792;444325;453975;454184;481919;452446;443295;446999;428662;387438;457925;410270;433333;422686;476505;444611;470452;467646;446740;461265;438992;419582;444208;404182;399682;355679;388442;388523;412517;403029;394110;399949;397372;405983;398301;353766;390538;74301699
"35 São Paulo";864492;1140681;1211547;1238988;1394509;1379854;1416982;1361431;1355886;1325650;1195894;1248312;1192122;1168343;1331860;1279800;1360263;1338841;1375778;1381052;1344822;1340753;1323656;1270890;1307033;1205857;1350844;1350044;1349096;1333855;1346868;1348583;1347423;1325983;1369249;1364714;1297686;1269800;1350915;1325610;1355888;1278958;1407963;1322059;1362660;1355959;1358818;1326295;1245850;1272749;1356237;1320065;1377804;1323382;1363959;1379866;1301185;1320039;1284779;1237890;1278583;1251592;1263279;1336279;1350536;1295628;1344556;1367487;1320554;1350486;1268689;1221351;1317540;1213753;1267096;1261084;1339896;1283314;1356204;1350540;1286848;1303267;1248776;1213506;1262697;1189107;1284540;1271783;1305154;1288716;1321352;1281604;1253611;1236598;1198893;1215812;1179612;1180896;1243077;1225305;1244895;1264156;1261141;1251967;1202890;1176805;1184600;1182012;1135846;1061775;1222197;1136362;1251704;1161513;1207339;1230960;1157593;1186516;1171962;1155837;1156411;1094120;1164944;1171452;1186537;1166929;1192725;1183251;1131315;1173208;1120475;1117191;1185006;1087759;1159713;1185541;1214359;1150877;1199085;1215982;1158811;1196970;1123857;1106989;1169263;1104709;1153240;954282;968247;1016513;1115922;1081949;1078993;1090592;1078230;1057160;1113879;1078241;1144280;197565049
