UF,Ano,Casos Notif,Curados,Óbitos,Outros Fins,População,Popul 0 à 4,Vacinas,Internações,Permanência,Gastos,Região
Maranhão,2019,2666,1774,130,762,7083578,617737,98496,305,3508,270752.72,Nordeste
Piauí,2019,877,496,29,352,3229651,229224,41800,122,1342,187645.66,Nordeste
Ceará,2019,4544,2497,129,1918,9128090,653031,112720,731,10119,965371.68,Nordeste
Rio Grande do Norte,2019,1417,832,71,514,3568644,247554,39857,402,8230,809364.01,Nordeste
Paraíba,2019,1486,750,48,688,4074755,290641,55098,402,8921,886966.2,Nordeste
Pernambuco,2019,6793,3913,341,2539,9593588,678410,127395,1230,16182,3298896.46,Nordeste
Alagoas,2019,1288,666,63,559,3405893,267357,46688,312,3625,539644.07,Nordeste
Sergipe,2019,1022,726,26,270,2331323,169413,30473,100,1098,74993.79,Nordeste
Bahia,2019,5653,3088,206,2359,15467527,1078043,163353,1015,16226,1655498.89,Nordeste
Minas Gerais,2019,4356,2915,155,1286,21346492,1300177,234103,1357,19000,2579293.09,Sudeste
Espírito Santo,2019,1492,896,66,530,4098852,260718,50938,171,1693,272319.3,Sudeste
Rio de Janeiro,2019,14963,9084,446,5433,16874306,987944,179242,1502,38328,3301802.47,Sudeste
São Paulo,2019,21953,16057,731,5165,45752757,2750916,516051,3582,108817,10615880.94,Sudeste
Paraná,2019,2883,1803,111,969,11468818,712149,144814,403,12972,1602665.76,Sul
Santa Catarina,2019,2265,1284,57,924,7179056,436755,82235,698,10336,1279799.87,Sul
Rio Grande do Sul,2019,7642,3882,256,3504,11388156,647708,124980,1314,29696,3048000.62,Sul
Mato Grosso do Sul,2019,1406,824,43,539,2772343,198012,51295,250,4064,557146.16,Centro-Oeste
Mato Grosso,2019,1532,964,32,536,3419350,247140,52877,140,1395,160957.88,Centro-Oeste
Goiás,2019,1173,704,40,429,6939629,448263,86519,338,2733,613074.4,Centro-Oeste
Distrito Federal,2019,483,227,20,236,3162452,213411,41948,243,3550,326852.95,Centro-Oeste
Rondônia,2020,573,96,9,468,1857992,132095,19783,126,1289,45363.38,Norte
Acre,2020,537,168,9,360,866811,81446,11699,55,411,48876.41,Norte
Amazonas,2020,3500,887,128,2485,4240210,378749,69641,136,1433,97270.95,Norte
Roraima,2020,286,65,11,210,546891,47945,11599,146,2870,48297.84,Norte
Pará,2020,4437,741,71,3625,8628901,716840,96679,380,4512,416119.77,Norte
Amapá,2020,274,21,5,248,842914,75070,11610,5,46,2199.48,Norte
Tocantins,2020,200,33,7,160,1599316,122499,22933,60,562,45140.65,Norte
Maranhão,2020,2332,519,90,1723,7121156,604347,73849,284,3487,280086.93,Nordeste
Piauí,2020,758,160,26,572,3233891,225016,38392,104,973,235483.06,Nordeste
Ceará,2020,3696,654,89,2953,9178363,644888,85597,539,6718,913669.69,Nordeste
Rio Grande do Norte,2020,1502,227,35,1240,3598288,245167,36095,353,6627,710005.88,Nordeste
Paraíba,2020,1263,185,32,1046,4097859,286265,36465,280,4422,534265.61,Nordeste
Pernambuco,2020,6069,1306,254,4509,9650604,669624,105662,817,9463,2255303.73,Nordeste
Alagoas,2020,922,142,40,740,3419689,262386,34187,249,2883,452955.91,Nordeste
Sergipe,2020,793,157,17,619,2352207,168102,24732,76,661,47379.54,Nordeste
Bahia,2020,4448,755,127,3566,15522855,1060893,154249,993,17636,1899996.22,Nordeste
Minas Gerais,2020,3889,769,141,2979,21451356,1283828,214221,1262,14293,2650202.22,Sudeste
Espírito Santo,2020,1734,0,0,1734,4138657,258364,43627,222,2078,453557.04,Sudeste
Rio de Janeiro,2020,13077,2489,297,10291,16946541,978373,135208,1397,34368,3071351.69,Sudeste
São Paulo,2020,19045,5446,609,12990,46064928,2722887,413642,3265,90113,9556673.29,Sudeste
Paraná,2020,2814,631,102,2081,11538518,703891,140609,538,14173,1944744.8,Sul
Santa Catarina,2020,1509,295,37,1177,7266193,435965,78677,555,8171,1202372.47,Sul
Rio Grande do Sul,2020,6327,1174,150,5003,11416895,640270,116193,1194,19216,2487620.4,Sul
Mato Grosso do Sul,2020,1171,141,40,990,2800704,195897,27631,345,5430,744445.5,Centro-Oeste
Mato Grosso,2020,1188,254,23,911,3455092,244387,48561,124,1031,133764.26,Centro-Oeste
Goiás,2020,952,166,24,762,7017496,445741,76032,299,2395,450336.51,Centro-Oeste
Distrito Federal,2020,382,37,14,331,3223048,214323,41694,200,2938,321290.51,Centro-Oeste
